,name,id,team,position,mean_points,mean_minutes,mean_goals_scored,mean_assists,mean_clean_sheets,mean_goals_conceded,mean_own_goals,mean_saves,mean_bonus,mean_bps,mean_influence,mean_creativity,mean_threat,mean_ict,mean_xg,mean_xa,mean_xgi,mean_xgc,mean_opp_att,mean_opp_def,latest_points
0,Kieran Tierney,8,Arsenal,DEF,0.8,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.2399999999999998,0.42000000000000004,0.4,0.32,0.0,0.003646,0.003646,0.052700000000000004,1114.0,1116.0,2
0,Kieran Tierney,8,Arsenal,DEF,1.0,23.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4.0,2.44,3.12,1.2,0.68,0.0,0.011166,0.011166,0.21318,1124.0,1114.0,0
0,Kieran Tierney,8,Arsenal,DEF,0.8,25.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0,4.2,3.4799999999999995,3.04,0.8,0.74,0.0,0.010344,0.010344,0.36994000000000005,1134.0,1132.0,0
0,Benjamin White,10,Arsenal,DEF,4.4,78.4,0.0,0.0,0.6,0.6,0.0,0.0,0.6,20.2,13.88,7.380000000000001,1.6,2.2800000000000002,0.0,0.09191,0.09191,0.53214,1106.0,1098.0,1
0,Benjamin White,10,Arsenal,DEF,3.6,76.2,0.0,0.0,0.4,1.2,0.0,0.0,0.6,16.8,9.28,6.26,1.6,1.72,0.0,0.10543,0.10543,0.57758,1112.0,1116.0,6
0,Benjamin White,10,Arsenal,DEF,4.6,78.4,0.0,0.0,0.6,0.8,0.0,0.0,0.6,20.6,10.64,11.120000000000001,2.0,2.38,0.0,0.11483800000000002,0.11483800000000002,0.61534,1100.0,1118.0,5
0,Benjamin White,10,Arsenal,DEF,4.2,81.2,0.0,0.2,0.4,1.0,0.0,0.0,0.4,20.2,15.4,16.54,2.2,3.4200000000000004,0.0046,0.171136,0.175736,0.9071200000000001,1128.0,1152.0,1
0,Benjamin White,10,Arsenal,DEF,4.2,81.2,0.0,0.2,0.4,1.2,0.0,0.0,0.4,19.6,14.680000000000001,16.14,2.6,3.34,0.0046,0.166776,0.171376,0.9665199999999998,1174.0,1198.0,6
0,Benjamin White,10,Arsenal,DEF,3.8,83.4,0.0,0.2,0.4,1.2,0.0,0.0,0.0,18.0,18.759999999999998,13.76,2.2,3.46,0.0046,0.11284800000000002,0.11744800000000002,1.26402,1164.0,1204.0,6
0,Benjamin White,10,Arsenal,DEF,4.8,81.8,0.0,0.4,0.4,0.8,0.0,0.0,0.2,22.2,24.479999999999997,18.46,3.0,4.58,0.0046,0.11061399999999999,0.115214,1.11096,1156.0,1186.0,6
0,Benjamin White,10,Arsenal,DEF,4.8,82.8,0.0,0.4,0.4,0.8,0.0,0.0,0.2,22.2,24.48,14.02,3.4,4.18,0.02606,0.10709999999999997,0.13316,1.0989200000000001,1150.0,1180.0,5
0,Benjamin White,10,Arsenal,DEF,4.8,83.2,0.0,0.2,0.6,0.6,0.0,0.0,0.2,21.0,19.6,10.3,4.2,3.4,0.04652,0.036356,0.08287599999999999,0.84238,1148.0,1172.0,8
0,Benjamin White,10,Arsenal,DEF,6.2,83.2,0.0,0.2,0.8,0.2,0.0,0.0,0.6,25.8,20.96,17.919999999999998,3.2,4.2,0.05678,0.075044,0.131824,0.7522800000000001,1114.0,1116.0,2
0,Benjamin White,10,Arsenal,DEF,5.4,86.2,0.0,0.2,0.6,0.4,0.0,0.0,0.6,25.6,19.6,22.1,4.0,4.58,0.05678,0.137964,0.194744,0.62908,1124.0,1114.0,1
0,Benjamin White,10,Arsenal,DEF,4.4,83.8,0.0,0.0,0.6,0.2,0.0,0.0,0.4,21.0,13.48,16.18,3.6,3.34,0.05678,0.120242,0.17702199999999998,0.56658,1134.0,1132.0,7
0,Takehiro Tomiyasu,14,Arsenal,DEF,0.6,11.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.0,2.44,2.3,0.8,0.5399999999999999,0.0,0.004346,0.004346,0.13413999999999998,1106.0,1098.0,1
0,Takehiro Tomiyasu,14,Arsenal,DEF,0.8,13.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.6,3.3599999999999994,2.46,0.8,0.6399999999999999,0.0,0.005892,0.005892,0.1567,1112.0,1116.0,1
0,Takehiro Tomiyasu,14,Arsenal,DEF,1.0,11.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4.2,3.5199999999999996,2.54,0.8,0.6799999999999999,0.0,0.006261999999999999,0.006261999999999999,0.13348000000000002,1100.0,1118.0,1
0,Takehiro Tomiyasu,14,Arsenal,DEF,1.0,8.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.8,2.7600000000000002,2.48,0.8,0.6,0.0,0.0057599999999999995,0.0057599999999999995,0.10036,1128.0,1152.0,1
